[2025-02-20 23:45:21,414:INFO:main:Welcome !!]
[2025-02-21 20:17:42,209:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:17:42,211:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:17:48,263:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:17:48,264:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:23:36,482:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:23:36,484:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:28:24,721:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:28:24,758:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:28:24,761:INFO:common:created directory at: artifacts]
[2025-02-21 20:28:24,764:INFO:common:created directory at: artifacts/data_ingestion]
[2025-02-21 20:31:00,930:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:31:00,932:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:31:00,935:INFO:common:created directory at: artifacts]
[2025-02-21 20:31:00,937:INFO:common:created directory at: artifacts/data_ingestion]
[2025-02-21 20:32:22,595:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 20:32:22,599:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 20:32:22,602:INFO:common:created directory at: artifacts]
[2025-02-21 20:32:22,604:INFO:common:created directory at: artifacts/data_ingestion]
[2025-02-21 20:32:22,606:INFO:2312406266:Downloading data from https://drive.google.com/file/d/1g0FAt3OgF4BOqwvxBEMCHJ04FaypAALz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-21 20:34:41,587:INFO:2312406266:Download data from https://drive.google.com/file/d/1g0FAt3OgF4BOqwvxBEMCHJ04FaypAALz/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-21 21:11:40,548:INFO:main: stage Data Ingestion stage  started]
[2025-02-21 21:11:40,550:INFO:common:yaml file :config\config.yaml loaded succfully]
[2025-02-21 21:11:40,551:INFO:common:yaml file :params.yaml loaded succfully]
[2025-02-21 21:11:40,552:INFO:common:created directory at: artifacts]
